,can,QED,logP,molWt,herg,drd3,fold,profile
43,COc1ccccc1N2CCN(Cc3cc(CN4CCOCC4)c5cccccc35)CC2,0.589295315,3.9544,431.58,0,1,2,1
44,COc1ccccc1N2CCN(Cc3cc(CO)c4cccccc34)CC2,0.752097689,3.6145,362.473,0,1,2,1
45,COc1ccccc1N2CCN(Cc3cc4ccccn4n3)CC2,0.739277058,2.6651,322.412,0,1,2,1
46,COc1ccccc1N2CCN(Cc3ccc(OCCCc4cn(CCCCCCCCn5cc(CCCOc6ccc(CN7CCN(CC7)c8ccccc8OC)cc6OC)nn5)nn4)c(OC)c3)CC2,0.041610747,8.6124,985.288,0,1,2,1
47,COc1ccccc1N2CCN(Cc3ccc(OCCCc4cn(CCOCCOCCn5cc(CCCOc6ccc(CN7CCN(CC7)c8ccccc8OC)cc6OC)nn5)nn4)c(OC)c3)CC2,0.048369689,6.305,989.232,0,1,2,1
48,COc1ccccc1N2CCN(Cc3ccc(OCCF)cc3)CC2,0.768864156,3.3657,344.43,0,1,2,1
49,COc1ccccc1N2CCN(Cc3ccc(OCc4cn(CCOCCOCCn5cc(COc6ccc(CN7CCN(CC7)c8ccccc8OC)cc6OC)nn5)nn4)c(OC)c3)CC2,0.067096468,5.4398,933.124,0,1,2,1
50,COc1ccccc1N2CCN(Cc3cn(nn3)c4ccc(OCCOCCOCCF)cc4)CC2,0.313654067,2.9796,499.587,0,1,2,1
51,COc1ccccc1N2CCN(Cc3cn(nn3)c4ccccc4)CC2,0.708508758,2.5981,349.438,0,1,2,1
52,COc1ccccc1N2CCN(Cc3cn4cc(Br)ccc4n3)CC2,0.67096193,3.4276,401.308,0,1,2,1
53,COc1ccccc1N2CCN(Cc3cn4cc(C)cc(I)c4n3)CC2,0.555570625,3.57812,462.335,0,1,2,1
54,COc1ccccc1NC2CCN(CCCCNC(=O)c3ccc4ccccc4c3)CC2,0.471619052,4.9349,431.58,0,1,2,1
55,COc1ccccc1OCCNCC(O)COc2cccc3[nH]c4ccccc4c23,0.349960763,3.738,406.482,0,1,2,1
56,COc1ccccc1OCCNCCc2ccc(O)c(O)c2,0.515533183,2.3175,303.358,0,1,2,1
57,COc1ccccc1\C=C\C(=O)NCCCCN2CCN(CC2)c3ccccc3OC,0.468717432,3.4356,423.557,0,1,2,1
58,COc1ccccc1c2cccc(CN3CCN(CC3)c4ncccn4)c2,0.696812087,3.4744,360.461,0,1,2,1
59,COc1nsnc1N2CCN(C[C@@H](Cc3cccnc3)NC(=O)C4(C)CCCCC4)CC2,0.651162158,2.7616,458.632,0,1,2,1
60,CS(=O)(=O)CC(=O)N[C@@H]1CC[C@@H](CCN2CCC(CC2)c3cccc4OCOc34)CC1,0.687610008,2.7044,450.601,0,1,2,1
61,CS(=O)(=O)CC(=O)N[C@@H]1CC[C@@H](CCN2CCC(CC2)c3coc4ccccc34)CC1,0.701169862,3.7219,446.613,0,1,2,1
62,CS(=O)(=O)CC(=O)N[C@@H]1CC[C@@H](CCN2CCC(CC2)c3noc4cc(Cl)ccc34)CC1,0.646666367,3.7703,482.046,0,1,2,1
63,CS(=O)(=O)N[C@@H]1CC[C@@H](CCN2CCC(CC2)c3cccc4OCCc34)CC1,0.787506763,3.299,406.592,0,1,2,1
64,CS(=O)(=O)N[C@@H]1CC[C@@H](CCN2CCC(CC2)c3cccc4OCOc34)CC1,0.78343323,3.0928,408.564,0,1,2,1
