,can,QED,logP,molWt,herg,drd3,fold,profile
40,CS(=O)(=O)CC(=O)N[C@@H]1CC[C@@H](CCN2CCN(CC2)c3nccc4OCCc34)CC1,0.668370879,1.2482,450.605,0,1,2,1
41,CS(=O)(=O)N[C@@H]1CC[C@@H](CCN2CCN(CC2)c3cccc4OCOc34)CC1,0.775333831,2.0354,409.552,0,1,2,1
42,CS(=O)(=O)N[C@@H]1CC[C@@H](CCN2CCN(CC2)c3nsc4ccccc34)CC1,0.775400923,2.9164,422.62,0,1,2,1
43,CS(=O)(=O)Nc1cccc(OCCNCc2ccccc2)c1,0.732030716,2.2267,320.414,0,1,2,1
44,CS(=O)(=O)Nc1cccc(c1)N2CCN(CCCCNC(=O)c3ccc4ccccc4c3)CC2,0.458029642,3.5435,480.634,0,1,2,1
45,CS(=O)(=O)Oc1ccc2CCN(CC[C@@H]3CC[C@H](CC3)NC(=O)\C=C\c4cccc(F)c4)CCc2c1,0.418980846,4.3432,514.663,0,1,2,1
46,CS(=O)(=O)Oc1cccc2[C@@H]3CCCN(CCCCNC(=O)c4ccc(cc4)c5ccccc5)[C@H]3CCc12,0.295188359,5.3964,532.706,0,1,2,1
47,CS(=O)(=O)c1ccc2CCN(CC[C@@H]3CC[C@H](CC3)NC(=O)\C=C\c4c(F)cccc4F)CCc2c1,0.548779118,4.5474,516.654,0,1,2,1
48,CS(=O)(=O)c1ccc2CCN(CC[C@@H]3CC[C@H](CC3)NC(=O)\C=C\c4cccc(F)c4)CCc2c1,0.574641086,4.4083,498.664,0,1,2,1
49,CS(=O)(=O)c1ccc2CCN(CC[C@@H]3CC[C@H](CC3)NC(=O)\C=C\c4cccc(c4)C#N)CCc2c1,0.571404375,4.14088,505.684,0,1,2,1
50,CS(=O)(=O)c1ccc2CCN(CC[C@@H]3CC[C@H](CC3)NC(=O)\C=C\c4ccccc4F)CCc2c1,0.574641086,4.4083,498.664,0,1,2,1
51,CS(=O)(=O)c1ccc2CCN(CC[C@@H]3CC[C@H](CC3)NC(=O)c4cccc5ccccc45)CCc2c1,0.511790799,5.0228,504.696,0,1,2,1
52,C[C@@H](CO)NC(=O)[C@H]1CN(C)[C@@H]2Cc3c[nH]c4cccc(C2=C1)c34,0.801650582,1.5346,325.412,0,1,2,1
53,C[C@@H](O)C(=O)N[C@@H]1CC[C@@H](CCN2CCC(CC2)c3cccc4OCOc34)CC1,0.765352775,3.0406,402.535,0,1,2,1
54,C[C@@H](O)CC(=O)N[C@@H]1CC[C@@H](CCN2CCC(CC2)c3noc4cc(Cl)ccc34)CC1,0.652998062,4.4966,448.007,0,1,2,1
55,C[C@@H](O)CN1CCN(CC1)c2cccc(Cl)c2Cl,0.925862553,2.4962,289.206,0,1,2,1
56,C[C@@H](Oc1cccc(Cn2c(C)c(C(=O)c3ccc(Cl)cc3)c4ccc(OC(F)(F)F)cc24)c1)C(=O)O,0.258092393,6.63292,531.914,0,1,2,1
57,C[C@@H]1C[C@@H](C)N1C(=O)[C@H]2CN(C)C3Cc4c[nH]c5cccc(C3=C2)c45,0.869929243,3.0469,335.451,0,1,2,1
58,C[C@@H]1NCCc2cc(O)c(O)cc12,0.52612521,1.3045,179.219,0,1,2,1
59,C[C@@]1(O)CC[C@H](CC1)C(=O)N[C@@H]2CC[C@@H](CCN3CCN(CC3)c4nccc5OCCc45)CC2,0.665179167,3.1448,470.658,0,1,2,1
60,C[C@H](CN1CCN(CC1)c2cc(F)c(F)cc2F)N3C(=O)CC4(CCCC4)CC3=O,0.550606512,3.3238,423.479,0,1,2,1
61,C[C@H]1Cc2c(Cc3ccccc3CCN1C)[nH]c4ccccc24,0.659998765,4.1776,304.437,0,1,2,1
62,C\C=C\CC(=O)N[C@@H]1CC[C@@H](CCN2CCC(CC2)c3cccc4OCCc34)CC1,0.654636304,4.8322,410.602,0,1,2,1
